id,name,release_date,release_precision,image_url,last_fetched
1,untitled unmastered.,2016-03-04,day,https://i.scdn.co/image/ab67616d0000b2738c697f553a46006a5d8886b2,2025-08-25T15:45:46
3,Samurai,2024-06-28,day,https://i.scdn.co/image/ab67616d0000b273afd65b04748aff25b77071f4,2025-08-25T15:45:48
4,My Name Is My Name,2013-10-31,day,https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364,2025-08-25T15:45:49
6,Let God Sort Em Out,2025-07-11,day,https://i.scdn.co/image/ab67616d0000b273ef854fe1d04279372a96f3d6,2025-08-25T15:45:50
7,GNX,2024-11-22,day,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,2025-08-25T15:45:51
8,I'm Up,2016-02-05,day,https://i.scdn.co/image/ab67616d0000b2739cd3a5bb6e2ad118c4a16460,2025-08-25T15:45:51
9,ALL-AMERIKKKAN BADA$$,2017-04-07,day,https://i.scdn.co/image/ab67616d0000b2733c7596dccb2aaca39e0cee3d,2025-08-25T15:45:52
10,1999,2012-06-12,day,https://i.scdn.co/image/ab67616d0000b273fcd3724fba954e6104e4530d,2025-08-25T15:45:52
11,2000,2022-07-22,day,https://i.scdn.co/image/ab67616d0000b273aacc3ddf3bfa01f4bd44cacc,2025-08-25T15:45:53
12,Slime Season 3,2016-03-25,day,https://i.scdn.co/image/ab67616d0000b273a875c3ec944b4f164ab5c350,2025-08-25T15:45:54
13,DC4,2016-10-28,day,https://i.scdn.co/image/ab67616d0000b2730a6f4e78a01fd779ebaace83,2025-08-25T15:45:55
14,Yung Rich Nation,2015-07-31,day,https://i.scdn.co/image/ab67616d0000b273e748816bc030ae86a975f3bb,2025-08-25T15:45:55
16,Barter 6,2015-04-16,day,https://i.scdn.co/image/ab67616d0000b27388053a98d0abb8ed3a02efe1,2025-08-25T15:45:57
17,Culture,2017-01-27,day,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd,2025-08-25T15:45:57
18,Dreams Worth More Than Money,2015-06-29,day,https://i.scdn.co/image/ab67616d0000b273fd31cd96c4ba94c40532cc34,2025-08-25T15:45:58
19,Slime Language 2,2021-04-16,day,https://i.scdn.co/image/ab67616d0000b2737939ff11c32b23060cc22bb5,2025-08-25T15:45:58
20,Future Hndrxx Presents: The WIZRD,2019-01-18,day,https://i.scdn.co/image/ab67616d0000b273e111437ad4fd3f50c8461ec5,2025-08-25T15:45:59
21,So Much Fun,2019-08-16,day,https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc,2025-08-25T15:46:00
22,DAYS BEFORE RODEO,2014-08-18,day,https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645,2025-08-25T15:46:00
23,More Life,2017-03-18,day,https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,2025-08-25T15:46:01
24,"Rap Game, Vol. 2 (The Takeover) [Frank White Presents the Streets Headbangerz]",2014-01-01,year,https://i.scdn.co/image/ab67616d0000b2738324da21594babd6daae31a4,2025-08-25T15:46:02
25,So Much Fun (Deluxe),2019-12-20,day,https://i.scdn.co/image/ab67616d0000b273540db9d6bae7e57baecf8b49,2025-08-25T15:46:03
26,"We Run This, Vol. 13 (Mixed by Mr. E)",2016-01-08,day,https://i.scdn.co/image/ab67616d0000b273d8b56979e462322d8dbf2ede,2025-08-25T15:46:03
28,MIXTAPE PLUTO,2024-09-20,day,https://i.scdn.co/image/ab67616d0000b27376c5a1960013e9203bcd6cd5,2025-08-25T15:46:05
29,FWU,2025-06-27,day,https://i.scdn.co/image/ab67616d0000b273144b45267daf4ff4246f81cf,2025-08-25T15:46:05
30,WUNNA (Deluxe),2020-07-24,day,https://i.scdn.co/image/ab67616d0000b273e60ecd82c26836900c35714a,2025-08-25T15:46:06
31,JACKBOYS 2,2025-07-13,day,https://i.scdn.co/image/ab67616d0000b273b547c9858fee61547e6b0fd8,2025-08-25T15:46:07
32,Money On Money (feat. Future),2025-04-25,day,https://i.scdn.co/image/ab67616d0000b273f4f96a787e5dff3a03a4ac42,2025-08-25T15:46:08
33,Drip or Drown 2,2019-02-22,day,https://i.scdn.co/image/ab67616d0000b2732bc7a1fb98d177aa0c948bdc,2025-08-25T15:46:08
34,Slauson Boy 2,2017-12-10,day,https://i.scdn.co/image/ab67616d0000b273dbffe7c058602c34ccd27dca,2025-08-25T15:46:09
37,Lord Willin',2002-04-01,day,https://i.scdn.co/image/ab67616d0000b27395bf7f7dac7b61a95d47f07e,2025-08-25T15:46:11
38,3001: A Laced Odyssey,2023-09-15,day,https://i.scdn.co/image/ab67616d0000b2735815377ee65f1200d38d3098,2025-08-25T15:46:12
39,FATHER OF 4,2019-02-22,day,https://i.scdn.co/image/ab67616d0000b2737028679269dc6a5a29ce8f36,2025-08-25T15:46:13
40,Bodies,2025-06-20,day,https://i.scdn.co/image/ab67616d0000b27392fd8d03014dc27eb37e858b,2025-08-25T15:46:16
42,The Last Wun,2025-08-08,day,https://i.scdn.co/image/ab67616d0000b2737fd9dc3a93bd4fa2be8ed715,2025-08-25T15:46:17
43,Late Registration,2005-01-01,day,https://i.scdn.co/image/ab67616d0000b273d79ba8ad2be777bad0e9924b,2025-08-25T15:46:18
44,The Infamous - 25th Anniversary Expanded Edition,1995-04-25,day,https://i.scdn.co/image/ab67616d0000b273a2203fa0656cede30f879b97,2025-08-25T15:46:19
46,Black Hippy,2013-05-14,day,https://i.scdn.co/image/ab67616d0000b273ced2a84cbcee1071df99b813,2025-08-25T15:46:20
50,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,2005-01-01,day,https://i.scdn.co/image/ab67616d0000b27369da799626c944aeef9b5e37,2025-08-25T15:46:23
51,Victory Lap,2018-02-16,day,https://i.scdn.co/image/ab67616d0000b273ac271e5d670e92c42bf99237,2025-08-25T15:46:23
52,The Massacre,2005-03-03,day,https://i.scdn.co/image/ab67616d0000b27391f7222996c531b981e7bb3d,2025-08-25T15:46:24
54,Project Baby 2: All Grown Up,2017-08-18,day,https://i.scdn.co/image/ab67616d0000b273583ce93dc89d84218f233ea7,2025-08-25T15:46:26
55,Get Rich Or Die Tryin',2003-02-06,day,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,2025-08-25T15:46:26
