id,name,image_url,last_fetched
1,Pusha T,https://i.scdn.co/image/ab6761610000e5ebc5b88a3924d8318f25f20594,2025-08-25T15:33:40
2,GoldLink,https://i.scdn.co/image/ab6761610000e5ebcbc832b2057435aa9eb7a6ea,2025-08-25T15:33:40
3,Clipse,https://i.scdn.co/image/ab6761610000e5eb7d6973a4df776665c9852f26,2025-08-25T15:33:40
4,Joey Bada$$,https://i.scdn.co/image/ab6761610000e5ebae01fe0d10cd8ebb4707c461,2025-08-25T15:33:41
5,Metro Boomin,https://i.scdn.co/image/ab6761610000e5eb28f1e72b31e756ea3f3a51e7,2025-08-25T15:33:41
6,Meek Mill,https://i.scdn.co/image/ab6761610000e5ebc14756c27212bdea80f6cfac,2025-08-25T15:33:41
7,Migos,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34,2025-08-25T15:33:41
8,Young Stoner Life,https://i.scdn.co/image/ab6761610000e5eb426433c9b6997417d193516c,2025-08-25T15:33:41
9,Future,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb,2025-08-25T15:33:41
10,Travis Scott,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,2025-08-25T15:33:41
11,Don Toliver,https://i.scdn.co/image/ab6761610000e5eb62d52993e245cb161f89b01c,2025-08-25T15:33:41
12,Gunna,https://i.scdn.co/image/ab6761610000e5eba998bc86f87b9fe7e2466110,2025-08-25T15:33:41
13,Denzel Curry,https://i.scdn.co/image/ab6761610000e5eb8e265da892579da2139b659f,2025-08-25T15:33:41
14,Quadeca,https://i.scdn.co/image/ab6761610000e5eb6eae25db29222c0168d25cf7,2025-08-25T15:33:41
15,Flatbush ZOMBiES,https://i.scdn.co/image/ab6761610000e5eb48807b66b83a3ce51ee9504f,2025-08-25T15:33:41
16,Freddie Gibbs,https://i.scdn.co/image/ab6761610000e5eb499def7bd0369aa26a22273c,2025-08-25T15:33:41
17,Offset,https://i.scdn.co/image/ab6761610000e5eb0f794f3394223026afa7776d,2025-08-25T15:33:42
18,Ei8ht,https://i.scdn.co/image/ab6761610000e5ebbe7af4a3d3bf673c917c2786,2025-08-25T15:33:42
19,Sergei Rachmaninoff,https://i.scdn.co/image/463e3c5c3e814761532f554913cf2af456bcba59,2025-08-25T15:33:42
20,Kanye West,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,2025-08-25T15:33:42
21,Mobb Deep,https://i.scdn.co/image/ab6761610000e5ebf85a8db4c66d84f796d2afe5,2025-08-25T15:33:42
22,Westside Gunn,https://i.scdn.co/image/ab6761610000e5eb10b517960f313575989c44c1,2025-08-25T15:33:42
23,Black Hippy,https://i.scdn.co/image/ab67616d0000b273dd1e5c4720d00722fa0cd3dc,2025-08-25T15:33:42
24,50 Cent,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,2025-08-25T15:33:42
25,Dr. Dre,https://i.scdn.co/image/83d2489cade1dadcdc533ddbcd74993d0ca6d4cb,2025-08-25T15:33:42
26,Redman,https://i.scdn.co/image/ab6761610000e5ebb3abe39a345181d9ec8f985f,2025-08-25T15:33:42
27,Kodak Black,https://i.scdn.co/image/ab6761610000e5eb70c05cf4dc9a7d3ffd02ba19,2025-08-25T15:33:42
28,G-Unit,https://i.scdn.co/image/a668bc3f083377ca8889e9f8273c752e0342c4e0,2025-08-25T15:33:42
29,Lil Uzi Vert,https://i.scdn.co/image/ab6761610000e5eba8ce348f34f18241d3249fa9,2025-08-25T15:33:42
30,Black Moon,https://i.scdn.co/image/ab6761610000e5ebf651fc3898af81dce0ad9f51,2025-08-25T15:33:43
31,Mick Jenkins,https://i.scdn.co/image/ab6761610000e5eb0363debe6b7819966d3b58d3,2025-08-25T15:33:43
32,Dave,https://i.scdn.co/image/ab6761610000e5ebd03e9ecf77419871b96daee1,2025-08-25T15:33:43
33,Stormzy,https://i.scdn.co/image/ab6761610000e5eb674d29e07df021a35df3ddf1,2025-08-25T15:33:43
34,PARTYNEXTDOOR,https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844,2025-08-25T15:33:43
35,Ghostpoet,https://i.scdn.co/image/ab6761610000e5eb2e1a92dabcfd6c66abf5841b,2025-08-25T15:33:43
36,Eli Sostre,https://i.scdn.co/image/ab6761610000e5eb08247eb7791ce3ab616311da,2025-08-25T15:33:43
37,Chance the Rapper,https://i.scdn.co/image/ab6761610000e5ebd4d18d62a36a26fe36b70e2a,2025-08-25T15:33:43
38,Black Milk,https://i.scdn.co/image/ab6761610000e5eb523862bf1aa797e5aff62060,2025-08-25T15:33:43
