id,name
1,west coast hip hop
2,rap
3,southern hip hop
4,melodic rap
5,trap
6,alternative hip hop
7,classical
8,classical piano
9,hardcore hip hop
10,gangster rap
11,boom bap
12,jazz rap
13,g-funk
14,grime
15,uk grime
16,uk drill
17,drill
18,dark r&b
19,r&b
20,trap soul
21,spoken word
22,underground hip hop
23,experimental hip hop
24,neo soul
25,northern soul
26,classic soul
27,motown
28,soul
29,soul blues
30,quiet storm
31,soft pop
32,folk rock
33,baroque pop
34,chillwave
35,hyperpop
36,art pop
37,drum and bass
38,bassline
39,jungle
40,chicago drill
41,melodic bass
42,future bass
43,idm
44,ambient
45,electronica
46,neo-psychedelic
47,indie
48,horrorcore
49,crunk
50,rock
51,glitch
52,experimental
53,christmas
54,big band
55,adult standards
56,swing music
57,jazz
58,vocal jazz
59,moroccan pop
60,khaleeji
61,moroccan chaabi
62,raï
63,house
64,madchester
65,britpop
66,swedish pop
67,stoner rock
68,garage rock
69,tamil pop
70,kollywood
71,tamil dance
72,tamil hip hop
73,tollywood
74,telugu pop
75,nu jazz
76,moombahton
77,soundtrack
78,grunge
79,anti-folk
80,folk punk
81,k-rap
82,blues rock
83,modern blues
84,big beat
85,alternative dance
86,electronic
87,breakbeat
88,comedy
89,cloud rap
90,soul jazz
91,jazz funk
92,jazz blues
93,hard bop
94,philly soul
95,cool jazz
96,funk
97,blues
98,classic blues
99,singer-songwriter
100,funk rock
101,disco
102,post-disco
103,acid house
104,latin hip hop
105,jazz beats
106,ballroom vogue
107,hip house
108,alternative r&b
109,disco house
110,rap rock
111,hyphy
112,pop punk
113,punk
114,skate punk
115,tropical house
116,edm
117,progressive house
118,french indie pop
119,french pop
120,classic rock
121,hard rock
122,rock and roll
123,trip hop
124,downtempo
125,southern rock
126,country rock
127,dubstep
128,doo-wop
129,french house
130,electro
131,psychedelic rock
132,acid rock
133,new wave
134,power pop
135,jangle pop
136,dream pop
137,surf rock
138,bebop
139,retro soul
140,uk garage
141,uk funky
142,indie soul
143,afro house
144,flamenco urbano
145,organic house
146,latin house
147,tribal house
148,german hip hop
149,new jack swing
150,avant-garde
151,drone
152,happy hardcore
153,hardstyle
154,free jazz
155,jazz fusion
156,boogie-woogie
157,electroclash
158,new rave
159,acid jazz
160,hardcore punk
161,thai rock
162,thai pop
163,djent
164,metalcore
165,progressive metal
166,metal
167,deathcore
168,post-hardcore
169,german pop
170,pop
171,sexy drill
172,malay
173,malaysian pop
174,chillstep
175,old school hip hop
176,hip hop
177,j-rap
178,neoclassical
179,chamber music
180,choral
181,opera
182,requiem
183,orchestra
184,emo rap
185,synthwave
186,japanese classical
187,anime
188,afrobeats
189,afrobeat
190,afropop
191,afro r&b
192,alté
193,afropiano
194,afro soul
195,afroswing
196,uk r&b
197,lo-fi hip hop
198,lo-fi
199,lo-fi beats
200,k-pop
201,boogie
202,vaporwave
203,city pop
204,nu disco
205,minimalism
206,celtic punk
207,celtic rock
208,celtic
209,rockabilly
210,villancicos
211,classic country
212,christian country
213,progressive rock
214,new age
215,folk
216,traditional folk
217,glam rock
218,soft rock
219,synthpop
220,hi-nrg
221,variété française
222,art rock
223,reggae
224,ragga
225,roots reggae
226,dancehall
227,brooklyn drill
228,new york drill
229,indie folk
230,folk pop
231,rap metal
232,ghazal
233,bollywood
234,bhajan
235,hindi pop
236,marathi pop
237,soca
238,riddim
239,jazz house
240,urbano latino
241,trap latino
242,reggaeton
243,latin
244,liquid funk
245,chicago house
246,lo-fi house
247,tech house
248,italo dance
249,funky house
250,drumstep
251,hypertechno
252,techno
253,exotica
254,easy listening
255,yacht rock
256,bedroom pop
257,hardcore techno
258,bolero
259,rage rap
260,ragtime
261,bossa nova
262,brazilian jazz
263,smooth jazz
264,latin jazz
265,bluegrass
266,newgrass
267,aussie drill
268,lullaby
269,indie r&b
270,lo-fi indie
271,footwork
272,edm trap
273,french jazz
274,polka
275,tango
276,candombe
277,roots rock
278,moroccan rap
279,arabic hip hop
280,chanson
281,nu metal
282,alternative metal
283,post-punk
284,mpb
285,country
286,sufi
287,argentine trap
288,dark ambient
289,stutter house
290,hard house
291,techengue
292,egyptian pop
293,oyun havasi
294,egyptian shaabi
295,mahraganat
296,acoustic country
297,cantopop
298,indie rock
299,east coast hip hop
