track_id,album_id,track_number,disc_number
12360,1,,1
1,1,,1
2,1,,1
3,1,,1
4,1,,1
5,1,,1
6,1,,1
7,2968,,1
91,2,,1
8,293,,1
9,3,,1
10,48,,1
12,5,,1
13,5,,1
12361,5,,1
14,5,,1
15,5,,1
92,5,,1
16,5,,1
93,6,,1
17,8,,1
94,9,,1
18,48,,1
95,48,,1
19,48,,1
20,48,,1
96,11,,1
22,12,,1
23,49,,1
24,13,,1
25,14,,1
26,15,,1
97,16,,1
27,17,,1
28,13,,1
98,18,,1
29,20,,1
30,22,,1
31,23,,1
32,50,,1
33,10,,1
34,10,,1
35,24,,1
99,25,,1
37,26,,1
38,13,,1
100,2649,,1
39,27,,1
12362,28,,1
40,6,,1
41,6,,1
42,6,,1
43,14,,1
44,6,,1
45,29,,1
46,20,,1
47,30,,1
48,6,,1
49,6,,1
50,6,,1
51,6,,1
52,51,,1
53,51,,1
54,51,,1
55,51,,1
56,2910,,1
60,31,,1
61,31,,1
62,31,,1
63,124,,1
64,124,,1
65,124,,1
70,33,,1
72,26,,1
78,1744,,1
79,1744,,1
80,1744,,1
81,1744,,1
82,1744,,1
83,34,,1
84,26,,1
85,26,,1
86,26,,1
87,26,,1
88,26,,1
89,26,,1
90,10,,1
107,51,,1
108,51,,1
109,51,,1
110,52,,1
111,52,,1
12363,48,,1
114,48,,1
200,48,,1
201,48,,1
115,48,,1
116,48,,1
117,48,,1
118,36,,1
119,53,,1
120,56,,1
121,56,,1
122,39,,1
123,56,,1
124,56,,1
125,40,,1
126,129,,1
127,41,,1
128,57,,1
129,36,,1
130,42,,1
131,30,,1
132,43,,1
133,2907,,1
202,43,,1
134,44,,1
135,45,,1
12364,46,,1
136,46,,1
137,13,,1
203,13,,1
138,13,,1
140,13,,1
141,47,,1
205,47,,1
206,47,,1
207,47,,1
142,47,,1
143,47,,1
208,47,,1
144,14,,1
145,14,,1
146,14,,1
147,14,,1
148,58,,1
149,59,,1
150,59,,1
151,1,,1
152,1,,1
153,1,,1
154,1,,1
155,1,,1
156,1529,,1
157,1529,,1
158,14,,1
12365,14,,1
159,14,,1
160,2969,,1
161,2969,,1
162,61,,1
209,2967,,1
210,2967,,1
211,2967,,1
212,62,,1
213,63,,1
163,63,,1
164,183,,1
165,183,,1
21,10,,1
204,47,,1
113,35,,1
112,35,,1
101,4,,1
36,4,,1
11,4,,1
166,183,,1
167,64,,1
168,64,,1
169,64,,1
170,64,,1
171,106,,1
172,106,,1
173,106,,1
174,106,,1
175,65,,1
12366,66,,1
176,67,,1
177,68,,1
178,1507,,1
179,69,,1
180,69,,1
214,69,,1
181,107,,1
182,70,,1
183,107,,1
184,107,,1
215,69,,1
216,69,,1
12367,2970,,1
217,108,,1
218,109,,1
219,71,,1
220,72,,1
221,73,,1
185,74,,1
186,75,,1
187,75,,1
188,75,,1
189,75,,1
190,110,,1
191,110,,1
192,110,,1
193,110,,1
194,110,,1
195,110,,1
196,111,,1
197,111,,1
198,111,,1
199,111,,1
222,76,,1
223,77,,1
224,78,,1
225,79,,1
226,80,,1
227,81,,1
228,81,,1
229,112,,1
230,82,,1
231,110,,1
232,83,,1
233,83,,1
234,84,,1
235,75,,1
236,75,,1
237,75,,1
238,75,,1
239,75,,1
240,75,,1
241,2974,,1
242,2974,,1
243,71,,1
244,71,,1
245,1507,,1
246,1507,,1
247,1507,,1
248,113,,1
249,113,,1
250,113,,1
251,113,,1
252,113,,1
253,113,,1
254,113,,1
255,113,,1
256,113,,1
257,113,,1
258,113,,1
259,113,,1
260,113,,1
261,85,,1
262,85,,1
263,85,,1
264,86,,1
265,86,,1
266,86,,1
267,71,,1
268,71,,1
269,71,,1
270,87,,1
271,87,,1
272,2974,,1
273,394,,1
274,394,,1
275,394,,1
276,394,,1
277,89,,1
278,89,,1
279,90,,1
280,256,,1
281,256,,1
282,91,,1
