"id","name","spotify_uri","genres","image_url","last_fetched"
1,"Pusha T","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","[]","https://i.scdn.co/image/ab6761610000e5ebc5b88a3924d8318f25f20594","2025-08-25 16:33:40"
2,"Kendrick Lamar","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","[""hip hop"",""west coast hip hop""]","https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918","2025-08-25 16:33:40"
3,"Drake","spotify:artist:3TVXtAsR1Inumwj472S9r4","[""rap""]","https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9","2025-08-25 16:33:40"
4,"Rubii","spotify:artist:3gN8Ihw22Vt9mnK97gbwMQ","[]","https://i.scdn.co/image/ab6761610000e5eba8cfa58acae3fad75d641066","2025-08-25 16:33:40"
5,"Lupe Fiasco","spotify:artist:01QTIT5P1pFP3QnnFSdsJf","[]","https://i.scdn.co/image/ab6761610000e5eb17e0a43f3aaa0c48410c4b68","2025-08-25 16:33:40"
6,"GoldLink","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","[]","https://i.scdn.co/image/ab6761610000e5ebcbc832b2057435aa9eb7a6ea","2025-08-25 16:33:40"
7,"Clipse","spotify:artist:2J257euzcjnDLipsyJH3F2","[""southern hip hop""]","https://i.scdn.co/image/ab6761610000e5eb7d6973a4df776665c9852f26","2025-08-25 16:33:40"
8,"Young Thug","spotify:artist:50co4Is1HCEo8bhOyUWKpn","[""rap"",""melodic rap"",""trap""]","https://i.scdn.co/image/ab6761610000e5eb3526c8e811f828c10fa4dd90","2025-08-25 16:33:40"
9,"Joey Bada$$","spotify:artist:2P5sC9cVZDToPxyomzF1UH","[""hip hop"",""rap""]","https://i.scdn.co/image/ab6761610000e5ebae01fe0d10cd8ebb4707c461","2025-08-25 16:33:41"
10,"Metro Boomin","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","[]","https://i.scdn.co/image/ab6761610000e5eb28f1e72b31e756ea3f3a51e7","2025-08-25 16:33:41"
11,"Meek Mill","spotify:artist:20sxb77xiYeusSH8cVdatc","[""rap""]","https://i.scdn.co/image/ab6761610000e5ebc14756c27212bdea80f6cfac","2025-08-25 16:33:41"
12,"Migos","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","[""trap""]","https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34","2025-08-25 16:33:41"
13,"Young Stoner Life","spotify:artist:1xr2G8Hlx4QWmT9HaUbmoO","[]","https://i.scdn.co/image/ab6761610000e5eb426433c9b6997417d193516c","2025-08-25 16:33:41"
